,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
330,16,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:00.268,(13.010464;1.659079;17.360397),(-14.119751;55.897366;128.230133)
331,17,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:00.629,(17.556116;1.001261;21.948318),(-12.666167;63.168907;124.290573)
332,18,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:01.184,(19.93272;8.377376;5.169106),(-5.998697;17.592928;149.97377)
333,19,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:01.351,(17.099701;10.106709;7.969055),(-4.337977;11.906817;151.911926)
334,20,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:51:02.723,(25.982933;8.240932;36.560104),(166.831909;85.392181;-22.740591)
335,21,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:51:02.834,(26.076559;8.608131;36.776733),(169.742462;84.872444;-19.596796)
336,22,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:51:03.009,(26.296125;8.919943;36.98175),(167.278198;84.727081;-22.039761)
337,23,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:51:03.104,(26.328037;9.021793;37.174606),(169.355255;84.542496;-19.843645)
338,24,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:51:03.690,(28.02182;8.768904;34.030685),(8.574948;85.533424;-178.258255)
339,25,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:51:03.784,(27.815599;8.875511;34.401459),(0.380543;86.71978;171.884766)
340,26,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:51:04.177,(27.502735;9.057514;34.650375),(10.428166;86.786377;-178.228287)
341,27,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:51:04.243,(27.36842;9.121137;34.669769),(12.675546;86.470024;-176.009018)
342,28,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:51:05.346,(27.085457;16.961842;14.994843),(-1.106383;59.610687;-168.970795)
343,29,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:51:05.457,(27.055326;16.992907;15.042191),(-1.858523;59.371552;-169.0681)
344,30,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:11.300,(36.297127;6.820749;7.377892),(-19.807594;50.069855;-35.774746)
345,31,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:11.784,(40.918682;2.011211;26.201622),(20.270935;84.368034;8.76667)
346,32,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:12.223,(43.579384;0.220024;7.005264),(-0.818576;52.224823;-3.227877)
347,33,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:12.526,(43.508793;2.352402;8.229164),(7.478362;55.980614;9.701449)
348,34,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:13.030,(39.133053;4.684345;1.077988),(-0.447327;42.009907;4.305361)
349,35,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:13.224,(38.655579;4.667057;1.488045),(-1.9608;43.051998;-0.42453)
350,36,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:13.698,(25.578905;10.365141;2.593529),(-13.807467;33.453381;-75.527748)
351,37,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:14.000,(24.141108;19.951101;4.579147),(12.92445;56.547546;-50.828899)
352,38,AB,1,T2,IA_Move,started,Right,2024-10-25 13:51:31.195,(21.269573;19.467108;5.637245),(-12.01853;19.098501;27.174585)
353,39,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:51:31.377,(19.646336;18.749823;6.226799),(-10.715934;20.373976;21.066772)
354,40,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:51:32.832,(38.131203;8.169701;31.229301),(2.434762;78.066803;-19.213293)
355,41,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:51:32.953,(38.173332;7.828449;31.367332),(0.265546;78.444069;-21.385792)
356,42,AB,1,T2,IA_Grab,started,Right,2024-10-25 13:51:35.725,(37.375526;11.961605;7.938881),(-70.933609;17.627911;-89.389519)
357,43,AB,1,T2,IA_Menu_Interact,started,Left,2024-10-25 13:51:38.047,(5.524235;13.48214;30.863815),(-20.108757;48.740952;-54.415913)
358,44,AB,1,T2,IA_Menu_Interact,completed,Left,2024-10-25 13:51:38.192,(6.071411;13.455292;31.234879),(-19.43112;49.274979;-51.777561)
359,45,AB,1,T2,IA_Menu_Interact,started,Left,2024-10-25 13:51:59.505,(5.339017;10.141651;23.035355),(3.151288;61.059055;-5.466842)
360,46,AB,1,T2,IA_Menu_Interact,completed,Left,2024-10-25 13:51:59.563,(5.275119;10.161125;23.065903),(5.013392;60.694881;-3.898212)
361,47,AB,1,T2,IA_Grab,completed,Right,2024-10-25 13:52:13.872,(34.480259;27.212399;11.273254),(-11.317916;12.093431;-29.555077)
362,48,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:15.033,(45.126038;20.630278;19.160858),(-2.099355;48.857182;16.598341)
363,49,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:15.348,(41.1325;22.326084;20.721222),(26.836874;69.219109;31.970484)
364,50,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:15.737,(28.139442;18.44421;4.897522),(-10.89434;29.200613;1.132881)
365,51,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:15.972,(28.727715;13.668147;2.72496),(2.616864;46.75663;12.644252)
366,52,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:16.832,(26.269037;4.823648;2.053284),(-12.682151;41.337914;-35.364174)
367,53,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:17.304,(26.89753;6.666061;1.700874),(0.541084;52.386066;-30.140184)
368,54,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:19.225,(36.283737;6.123055;6.265289),(-0.843645;39.990768;10.443491)
369,55,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:19.397,(34.974255;2.28706;2.640564),(-6.258653;30.319483;0.045412)
370,56,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:52:35.025,(19.555069;22.620884;35.253113),(43.022861;69.450424;-7.038128)
371,57,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:52:35.148,(19.908033;22.770008;34.454453),(45.175289;74.022934;-3.277624)
372,58,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:52:35.590,(17.384098;26.037491;34.732224),(32.913719;75.514992;-18.451593)
373,59,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:52:35.684,(17.338274;25.979965;34.78894),(30.0762;76.59362;-21.920534)
374,60,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:38.960,(1.956665;6.859619;8.429817),(-17.240908;-10.204714;-157.785538)
375,61,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:39.090,(2.500069;4.330772;9.78672),(-16.019777;-9.635187;-160.158463)
376,62,AB,1,T2,IA_Grab,started,Right,2024-10-25 13:52:40.662,(19.128155;7.91732;5.160767),(-13.837135;-13.840645;-126.320877)
377,63,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:41.253,(21.925411;22.816814;17.390518),(-15.966765;30.958233;-96.797485)
378,64,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:41.358,(21.919266;21.38797;17.206963),(-13.213792;28.34672;-100.741364)
379,65,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:42.183,(4.220276;14.163322;1.290733),(-14.757983;25.515007;-170.73056)
380,66,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:42.340,(4.434151;14.493389;1.837769),(-6.292205;31.439741;-168.634308)
381,67,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:42.851,(0.221367;16.966492;3.765236),(-10.200403;20.938393;-154.831802)
382,68,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:42.970,(0.53624;16.622299;4.063492),(-3.922662;22.149319;-151.12471)
383,69,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:46.307,(23.557375;4.789429;5.000214),(-13.219123;17.487492;-112.038506)
384,70,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:46.395,(18.780132;1.459709;2.295944),(-3.987036;11.17817;-104.656166)
385,71,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:47.258,(25.40588;5.467716;6.504227),(-7.988876;9.783727;-122.61171)
386,72,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:47.404,(25.320417;6.997803;6.934364),(-8.908431;13.640663;-125.746033)
387,73,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:50.523,(6.683701;34.25861;11.485435),(-15.680544;25.630896;-156.084259)
388,74,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:50.682,(6.496346;30.965508;14.87394),(-14.091479;29.534094;-150.933868)
389,75,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:51.455,(13.301682;23.872402;8.741074),(-9.589734;13.524633;-147.72963)
390,76,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:51.625,(13.364521;24.379799;8.893448),(-11.433829;15.607768;-148.288742)
391,77,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:52.252,(17.082884;22.967846;6.44442),(-17.468895;9.522219;-141.876114)
392,78,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:52.390,(19.787096;21.29174;3.406853),(-8.543192;5.705716;-133.199799)
393,79,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:53.430,(32.457726;5.901711;6.872307),(-26.552565;-12.397741;-107.130791)
394,80,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:53.533,(34.881855;2.634537;8.450745),(-29.360451;-15.543389;-91.653084)
395,81,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:55.222,(4.698708;10.286373;3.827972),(-3.356822;1.094363;141.419662)
396,82,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:52:55.264,(4.691864;9.844679;4.088562),(-3.373399;0.786601;139.286575)
397,83,AB,1,T2,IA_Move,started,Right,2024-10-25 13:52:59.932,(3.591084;5.248944;3.074165),(-8.945001;4.35398;85.622818)
398,84,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:00.064,(2.099926;5.067039;2.98143),(-5.488558;6.765388;90.491371)
399,85,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:00.889,(3.956215;2.082787;5.746399),(-9.758268;-2.90953;106.047264)
400,86,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:00.986,(3.606983;1.446774;6.123039),(-6.612972;-1.764186;102.826248)
