user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
40,CarAccident,2023-05-04 10:28:20,2023-05-04 10:28:20,X=-9540.999 Y=-1584.091 Z=3.322,X=-9288.562 Y=-1579.016 Z=3.322,2.524875
40,CarAccident,2023-05-04 10:28:21,2023-05-04 10:28:21,X=-9289.435 Y=-1582.276 Z=3.322,X=-9075.625 Y=-1636.946 Z=3.322,2.206882
40,CarAccident,2023-05-04 10:28:22,2023-05-04 10:28:22,X=-9072.991 Y=-1639.050 Z=5.726,X=-8859.475 Y=-1688.257 Z=5.726,2.191133
40,CarAccident,2023-05-04 10:28:24,2023-05-04 10:28:46,X=-8859.263 Y=-1687.352 Z=5.726,X=-8880.591 Y=-1666.381 Z=5.726,0.299105
40,CarAccident,2023-05-04 10:28:48,2023-05-04 10:28:48,X=-8881.783 Y=-1668.865 Z=5.726,X=-9069.479 Y=-1428.786 Z=5.726,3.047412
40,CarAccident,2023-05-04 10:28:48,2023-05-04 10:28:49,X=-9069.073 Y=-1428.161 Z=3.322,X=-9259.090 Y=-1181.688 Z=3.322,3.112157
40,CarAccident,2023-05-04 10:28:49,2023-05-04 10:28:49,X=-9259.538 Y=-1181.974 Z=3.322,X=-9444.241 Y=-939.936 Z=3.322,3.044633
40,CarAccident,2023-05-04 10:28:49,2023-05-04 10:28:50,X=-9444.794 Y=-939.911 Z=3.322,X=-9629.565 Y=-704.388 Z=3.322,2.993525
40,CarAccident,2023-05-04 10:28:50,2023-05-04 10:28:50,X=-9630.057 Y=-703.613 Z=3.322,X=-9806.982 Y=-471.328 Z=3.322,2.919915
40,CarAccident,2023-05-04 10:28:51,2023-05-04 10:28:51,X=-9806.652 Y=-471.636 Z=3.322,X=-9957.322 Y=-271.999 Z=3.322,2.501124
40,CarAccident,2023-05-04 10:28:52,2023-05-04 10:28:52,X=-9953.318 Y=-272.540 Z=3.322,X=-10114.351 Y=-94.908 Z=3.322,2.397592
40,CarAccident,2023-05-04 10:28:54,2023-05-04 10:28:54,X=-10114.759 Y=-102.941 Z=3.322,X=-10199.937 Y=-363.477 Z=3.322,2.741065
40,CarAccident,2023-05-04 10:28:54,2023-05-04 10:28:55,X=-10199.055 Y=-364.496 Z=3.322,X=-10256.086 Y=-641.866 Z=3.322,2.831723
40,CarAccident,2023-05-04 10:28:55,2023-05-04 10:28:55,X=-10255.689 Y=-642.540 Z=3.322,X=-10272.016 Y=-918.744 Z=3.322,2.76686
40,CarAccident,2023-05-04 10:28:55,2023-05-04 10:28:55,X=-10271.772 Y=-918.820 Z=3.322,X=-10284.741 Y=-1207.107 Z=3.322,2.885791
40,CarAccident,2023-05-04 10:28:55,2023-05-04 10:28:56,X=-10284.572 Y=-1207.289 Z=3.322,X=-10290.515 Y=-1484.595 Z=3.322,2.773698
40,CarAccident,2023-05-04 10:28:56,2023-05-04 10:28:56,X=-10290.311 Y=-1484.734 Z=3.322,X=-10298.118 Y=-1710.000 Z=3.322,2.254015
40,CarAccident,2023-05-04 10:29:00,2023-05-04 10:29:39,X=-10298.707 Y=-1713.422 Z=5.726,X=-10314.263 Y=-1402.619 Z=5.726,3.111914
40,CarAccident,2023-05-04 10:29:40,2023-05-04 10:29:41,X=-10322.821 Y=-1404.730 Z=3.322,X=-10298.791 Y=-1128.142 Z=3.322,2.776302
