0,1,2,3,4,5,6,7,8,9,10
12,0,0,0,0,1,530,70,0,0,0
13,0,0,0,0,0,528,70,0,0,0
14,0,0,0,0,0,528,69,0,0,0
15,0,0,0,0,3,531,69,0,0,0
0,0,0,0,0,0,530,70,0,0,0
1,0,0,0,0,0,526,69,0,0,0
2,0,0,0,0,1,491,68,0,0,0
3,0,0,0,0,3,435,67,0,0,0
4,0,0,0,0,0,468,70,0,0,0
5,0,0,0,0,0,572,69,0,0,0
6,0,0,0,0,0,529,68,0,0,0
7,0,0,0,0,3,488,70,0,0,0
8,0,0,0,0,0,510,67,0,0,0
9,0,0,0,0,0,513,69,0,0,0
10,0,0,0,0,0,511,70,0,0,0
11,0,0,0,0,3,513,70,0,0,0
12,0,0,0,0,0,508,68,0,0,0
13,0,0,0,0,0,509,67,0,0,0
14,0,0,0,0,0,504,70,0,0,0
15,0,0,0,0,3,503,70,0,0,0
0,0,0,0,0,0,496,67,0,0,0
1,0,0,0,0,0,500,70,0,0,0
2,0,0,0,0,0,497,70,0,0,0
3,0,0,0,0,0,499,69,0,0,0
4,0,0,0,0,1,494,67,0,0,0
5,0,0,0,0,0,495,67,0,0,0
6,0,0,0,0,0,490,68,0,0,0
7,0,0,0,0,3,488,67,0,0,0
8,0,0,0,0,0,486,68,0,0,0
9,0,0,0,0,0,488,70,0,0,0
10,0,0,0,0,0,493,67,0,0,0
11,0,0,0,0,3,494,70,0,0,0
12,0,0,0,0,0,498,67,0,0,0
13,0,0,0,0,0,504,70,0,0,0
14,0,0,0,0,0,512,68,0,0,0
15,0,0,0,0,3,520,69,0,0,0
0,0,0,0,0,0,524,69,0,0,0
1,0,0,0,0,0,528,70,0,0,0
2,0,0,0,0,0,529,70,0,0,0
3,0,0,0,0,3,530,70,0,0,0
4,0,0,0,0,0,528,70,0,0,0
5,0,0,0,0,0,524,67,0,0,0
6,0,0,0,0,0,521,68,0,0,0
7,0,0,0,0,3,521,70,0,0,0
8,0,0,0,0,0,517,69,0,0,0
9,0,0,0,0,0,516,70,0,0,0
10,0,0,0,0,0,515,67,0,0,0
11,0,0,0,0,3,517,69,0,0,0
12,0,0,0,0,0,511,70,0,0,0
13,0,0,0,0,0,511,68,0,0,0
14,0,0,0,0,0,511,68,0,0,0
15,0,0,0,0,3,515,67,0,0,0
0,0,0,0,0,0,512,69,0,0,0
1,0,0,0,0,0,515,70,0,0,0
2,0,0,0,0,0,514,69,0,0,0
3,0,0,0,0,3,518,67,0,0,0
4,0,0,0,0,0,517,69,0,0,0
5,0,0,0,0,0,518,69,0,0,0
6,0,0,0,0,0,516,70,0,0,0
7,0,0,0,0,3,516,69,0,0,0
8,0,0,0,0,0,512,70,0,0,0
9,0,0,0,0,0,514,69,0,0,0
10,0,0,0,0,0,512,67,0,0,0
11,0,0,0,0,3,512,69,0,0,0
12,0,0,0,0,0,510,69,0,0,0
13,0,0,0,0,0,507,70,0,0,0
14,0,0,0,0,0,506,70,0,0,0
15,0,0,0,0,0,507,69,0,0,0
0,0,0,0,0,0,504,67,0,0,0
1,0,0,0,0,0,507,68,0,0,0
2,0,0,0,0,0,506,70,0,0,0
3,0,0,0,0,3,510,70,0,0,0
4,0,0,0,0,0,507,67,0,0,0
5,0,0,0,0,0,511,70,0,0,0
6,0,0,0,0,0,508,70,0,0,0
7,0,0,0,0,3,513,70,0,0,0
8,0,0,0,0,0,509,70,0,0,0
9,0,0,0,0,0,497,69,0,0,0
10,0,0,0,0,0,497,67,0,0,0
11,0,0,0,0,3,499,68,0,0,0
12,0,0,0,0,0,502,70,0,0,0
13,0,0,0,0,0,511,70,0,0,0
14,0,0,0,0,0,519,69,0,0,0
15,0,0,0,0,3,522,67,0,0,0
0,0,0,0,0,0,518,68,0,0,0
1,0,0,0,0,0,515,69,0,0,0
2,0,0,0,0,0,513,70,0,0,0
3,0,0,0,0,3,519,70,0,0,0
4,0,0,0,0,0,522,68,0,0,0
5,0,0,0,0,0,513,69,0,0,0
6,0,0,0,0,0,457,70,0,0,0
7,0,0,0,0,3,432,70,0,0,0
8,0,0,0,0,0,499,68,0,0,0
9,0,0,0,0,0,590,69,0,0,0
10,0,0,0,0,0,505,70,0,0,0
11,0,0,0,0,3,497,70,0,0,0
12,0,0,0,0,0,519,68,0,0,0
13,0,0,0,0,0,522,68,0,0,0
14,0,0,0,0,0,521,70,0,0,0
15,0,0,0,0,3,522,70,0,0,0
0,0,0,0,0,0,519,70,0,0,0
1,0,0,0,0,0,521,68,0,0,0
2,0,0,0,0,0,517,68,0,0,0
3,0,0,0,0,3,515,67,0,0,0
4,0,0,0,0,0,510,70,0,0,0
5,0,0,0,0,0,510,70,0,0,0
6,0,0,0,0,0,504,69,0,0,0
7,0,0,0,0,3,503,67,0,0,0
8,0,0,0,0,0,500,70,0,0,0
9,0,0,0,0,0,495,69,0,0,0
10,0,0,0,0,0,487,70,0,0,0
11,0,0,0,0,0,487,70,0,0,0
12,0,0,0,0,0,489,68,0,0,0
13,0,0,0,0,0,491,67,0,0,0
14,0,0,0,0,0,491,69,0,0,0
15,0,0,0,0,3,492,70,0,0,0
0,0,0,0,0,0,495,68,0,0,0
1,0,0,0,0,0,502,68,0,0,0
2,0,0,0,0,0,506,69,0,0,0
3,0,0,0,0,3,518,68,0,0,0
4,0,0,0,0,0,523,70,0,0,0
5,0,0,0,0,0,527,70,0,0,0
6,0,0,0,0,0,526,69,0,0,0
7,0,0,0,0,3,522,70,0,0,0
8,0,0,0,0,0,518,70,0,0,0
9,0,0,0,0,0,516,70,0,0,0
10,0,0,0,0,0,516,68,0,0,0
11,0,0,0,0,3,518,69,0,0,0
12,0,0,0,0,0,515,70,0,0,0
13,0,0,0,0,0,517,70,0,0,0
14,0,0,0,0,0,515,71,0,0,0
15,0,0,0,0,0,518,68,0,0,0
0,0,0,0,0,0,515,70,0,0,0
1,0,0,0,0,0,515,69,0,0,0
2,0,0,0,0,0,515,68,0,0,0
3,0,0,0,0,3,519,70,0,0,0
4,0,0,0,0,0,513,71,0,0,0
