8,0,0,0,0,0,528,56,0,0,0
9,0,0,0,0,0,524,57,0,0,0
10,0,0,0,0,0,525,58,0,0,0
11,0,0,0,0,3,523,56,0,0,0
12,0,0,0,0,0,525,59,0,0,0
13,0,0,0,0,0,522,56,0,0,0
14,0,0,0,0,0,522,58,0,0,0
15,0,0,0,0,3,522,56,0,0,0
0,0,0,0,0,0,522,59,0,0,0
1,0,0,0,0,0,516,56,0,0,0
2,0,0,0,0,0,517,59,0,0,0
3,0,0,0,0,1,515,58,0,0,0
4,0,0,0,0,0,516,58,0,0,0
5,0,0,0,0,0,511,57,0,0,0
6,0,0,0,0,0,514,59,0,0,0
7,0,0,0,0,3,513,56,0,0,0
8,0,0,0,0,0,517,58,0,0,0
9,0,0,0,0,0,518,56,0,0,0
10,0,0,0,0,0,521,59,0,0,0
11,0,0,0,0,3,519,57,0,0,0
12,0,0,0,0,0,528,58,0,0,0
13,0,0,0,0,0,526,56,0,0,0
14,0,0,0,0,0,529,59,0,0,0
15,0,0,0,0,3,527,57,0,0,0
0,0,0,0,0,0,531,59,0,0,0
1,0,0,0,0,0,527,56,0,0,0
2,0,0,0,0,0,529,56,0,0,0
3,0,0,0,0,3,525,56,0,0,0
4,0,0,0,0,0,526,59,0,0,0
5,0,0,0,0,0,525,57,0,0,0
6,0,0,0,0,0,523,58,0,0,0
7,0,0,0,0,3,519,59,0,0,0
8,0,0,0,0,0,519,56,0,0,0
9,0,0,0,0,0,514,58,0,0,0
10,0,0,0,0,0,512,59,0,0,0
11,0,0,0,0,3,508,58,0,0,0
12,0,0,0,0,0,503,57,0,0,0
13,0,0,0,0,0,497,57,0,0,0
14,0,0,0,0,0,503,59,0,0,0
15,0,0,0,0,3,505,56,0,0,0
0,0,0,0,0,0,520,58,0,0,0
1,0,0,0,0,0,529,59,0,0,0
2,0,0,0,0,0,534,59,0,0,0
3,0,0,0,0,3,531,56,0,0,0
4,0,0,0,0,0,529,57,0,0,0
5,0,0,0,0,0,530,59,0,0,0
6,0,0,0,0,0,531,57,0,0,0
7,0,0,0,0,3,530,56,0,0,0
8,0,0,0,0,0,531,59,0,0,0
9,0,0,0,0,0,495,57,0,0,0
10,0,0,0,0,0,446,56,0,0,0
11,0,0,0,0,3,481,59,0,0,0
12,0,0,0,0,0,575,58,0,0,0
13,0,0,0,0,0,525,56,0,0,0
14,0,0,0,0,0,504,59,0,0,0
15,0,0,0,0,0,517,56,0,0,0
0,0,0,0,0,0,522,57,0,0,0
1,0,0,0,0,0,518,59,0,0,0
2,0,0,0,0,0,519,58,0,0,0
3,0,0,0,0,3,517,59,0,0,0
4,0,0,0,0,0,519,59,0,0,0
5,0,0,0,0,0,517,56,0,0,0
6,0,0,0,0,0,518,59,0,0,0
7,0,0,0,0,3,511,57,0,0,0
8,0,0,0,0,0,511,59,0,0,0
9,0,0,0,0,0,509,57,0,0,0
10,0,0,0,0,0,508,59,0,0,0
11,0,0,0,0,3,505,56,0,0,0
12,0,0,0,0,0,505,58,0,0,0
13,0,0,0,0,0,497,59,0,0,0
14,0,0,0,0,0,491,56,0,0,0
15,0,0,0,0,3,486,58,0,0,0
0,0,0,0,0,0,485,56,0,0,0
1,0,0,0,0,0,487,58,0,0,0
2,0,0,0,0,0,490,59,0,0,0
3,0,0,0,0,3,491,58,0,0,0
4,0,0,0,0,0,501,56,0,0,0
5,0,0,0,0,0,508,59,0,0,0
6,0,0,0,0,0,521,59,0,0,0
7,0,0,0,0,3,524,56,0,0,0
8,0,0,0,0,0,529,59,0,0,0
9,0,0,0,0,0,529,57,0,0,0
10,0,0,0,0,0,530,59,0,0,0
11,0,0,0,0,3,526,58,0,0,0
12,0,0,0,0,0,524,57,0,0,0
13,0,0,0,0,0,519,58,0,0,0
14,0,0,0,0,0,525,56,0,0,0
15,0,0,0,0,3,523,58,0,0,0
0,0,0,0,0,0,523,59,0,0,0
1,0,0,0,0,0,524,56,0,0,0
2,0,0,0,0,0,524,59,0,0,0
3,0,0,0,0,3,518,57,0,0,0
4,0,0,0,0,0,520,58,0,0,0
5,0,0,0,0,0,518,57,0,0,0
6,0,0,0,0,0,518,59,0,0,0
7,0,0,0,0,3,515,58,0,0,0
8,0,0,0,0,0,517,56,0,0,0
9,0,0,0,0,0,515,59,0,0,0
10,0,0,0,0,0,519,59,0,0,0
11,0,0,0,0,0,516,56,0,0,0
12,0,0,0,0,0,518,58,0,0,0
13,0,0,0,0,0,513,58,0,0,0
14,0,0,0,0,0,512,59,0,0,0
15,0,0,0,0,3,507,58,0,0,0
0,0,0,0,0,0,508,58,0,0,0
1,0,0,0,0,0,507,57,0,0,0
2,0,0,0,0,0,512,57,0,0,0
3,0,0,0,0,3,512,57,0,0,0
4,0,0,0,0,0,515,56,0,0,0
5,0,0,0,0,0,514,56,0,0,0
