,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
166,16,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:27.802,,
167,17,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:29.187,,
168,18,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:29.774,,
169,19,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:29.924,,
170,20,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:53:30.789,,
171,21,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:53:31.075,,
172,22,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:53:31.204,,
173,23,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:32.463,,
174,24,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:32.989,,
175,25,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:33.763,,
176,26,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:33.917,,
177,27,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:53:34.791,,
178,28,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:36.039,,
179,29,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:36.272,,
180,30,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:53:37.400,,
181,31,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:38.511,,
182,32,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:38.924,,
183,33,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:53:39.958,,
184,34,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:41.033,,
185,35,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:41.609,,
186,36,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:42.284,,
187,37,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:42.441,,
188,38,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:53:44.316,,
189,39,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:53:44.743,,
190,40,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:46.517,,
191,41,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:47.146,,
192,42,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:47.813,,
193,43,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:47.946,,
194,44,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:53:48.832,,
195,45,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:53:50.017,,
196,46,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:51.569,,
197,47,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:53.482,,
198,48,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:53.927,,
199,49,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:54.159,,
200,50,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:54.750,,
201,51,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:55.032,,
202,52,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:58.320,,
203,53,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:58.702,,
204,54,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:58.779,,
205,55,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:53:58.934,,
206,56,AA,1,S1,IA_Move,started,Right,2024-10-22 13:53:59.622,,
207,57,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:00.205,,
208,58,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:01.057,,
209,59,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:01.160,,
210,60,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:54:02.758,,
211,61,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:54:03.000,,
212,62,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:54:03.247,,
213,63,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:54:07.295,,
214,64,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:08.355,,
215,65,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:08.485,,
216,66,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:54:10.499,,
217,67,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:11.225,,
218,68,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:11.614,,
219,69,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:54:12.997,,
220,70,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:14.507,,
221,71,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:15.007,,
222,72,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:15.437,,
