id,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime
0,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:55:41.781
1,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:55:42.43
2,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:56:25.678
3,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:56:25.763
4,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:6.762
5,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:6.849
6,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:11.128
7,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:11.516
8,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:13.68
9,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:13.955
10,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:15.344
11,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:15.475
12,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:15.756
13,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:15.849
14,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:16.188
15,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:16.309
16,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:16.622
17,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:16.742
18,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:17.58
19,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:17.181
20,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:17.945
21,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:18.29
22,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:22.314
23,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:22.401
24,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:23.115
25,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:24.133
26,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:24.611
27,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:24.941
28,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:25.416
29,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:26.242
30,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:27.116
31,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:27.256
32,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:57:41.786
33,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:57:41.874
34,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:50.115
35,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:50.477
36,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:57:51.242
37,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:57:51.674
38,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:58:15.616
39,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:58:16.536
40,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:58:17.197
41,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:58:17.302
42,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:58:18.537
43,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:58:18.828
44,AA,1,T2_BasicEmergency,IA_Grab_Right,started,Right,2024-10-22 13:58:19.860
45,AA,1,T2_BasicEmergency,IA_Menu_Interact_Left,started,Left,2024-10-22 13:58:21.585
46,AA,1,T2_BasicEmergency,IA_Menu_Interact_Left,completed,Left,2024-10-22 13:58:21.778
47,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:58:34.472
48,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:58:34.780
49,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:58:35.169
50,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:58:36.31
51,AA,1,T2_BasicEmergency,IA_Menu_Interact_Left,started,Left,2024-10-22 13:58:44.316
52,AA,1,T2_BasicEmergency,IA_Menu_Interact_Left,completed,Left,2024-10-22 13:58:44.427
53,AA,1,T2_BasicEmergency,IA_Grab_Right,completed,Right,2024-10-22 13:58:56.1
54,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:58:57.999
55,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:58:58.642
56,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:58:59.328
57,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:0.989
58,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:1.528
59,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:1.641
60,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:59:10.113
61,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:59:10.170
62,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:59:11.280
63,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:59:11.354
64,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:12.226
65,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:13.607
66,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:14.405
67,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:14.922
68,AA,1,T2_BasicEmergency,IA_Move_Right,started,Right,2024-10-22 13:59:15.473
69,AA,1,T2_BasicEmergency,IA_Move_Right,completed,Right,2024-10-22 13:59:15.688
70,AA,1,T2_BasicEmergency,IA_Grab_Right,started,Right,2024-10-22 13:59:27.315
71,AA,1,T2_BasicEmergency,IA_Grab_Right,completed,Right,2024-10-22 13:59:27.486
72,AA,1,T2_BasicEmergency,IA_Menu_Interact_Right,started,Right,2024-10-22 13:59:27.752
