id,user_id,experiment_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
38,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_3,start_detection,Right,2024-10-25 13:48:50.992
39,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_3,grab,Right,2024-10-25 13:48:51.253
40,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_3,stop_detection,Right,2024-10-25 13:48:51.262
41,AB,1,S1_BasicMechanics,3,Dosimeter_SABG100_3,release,Right,2024-10-25 13:48:53.975
42,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_2,start_detection,Right,2024-10-25 13:48:56.739
43,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_2,stop_detection,Right,2024-10-25 13:48:56.768
44,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_2,start_detection,Right,2024-10-25 13:48:56.902
45,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_2,grab,Right,2024-10-25 13:48:57.77
46,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_2,stop_detection,Right,2024-10-25 13:48:57.89
47,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_2,release,Right,2024-10-25 13:49:2.203
48,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:49:5.967
49,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:49:5.995
50,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:49:6.20
51,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_1,grab,Right,2024-10-25 13:49:6.79
52,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:49:6.89
53,AB,1,S1_BasicMechanics,4,Dosimeter_EPD_1,release,Right,2024-10-25 13:49:9.620
