id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
68, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:2", "2024-1-29 16:59:2", "12521.378906,-3845.671387", "12488.696289,-3989.921387", "1.479061"
69, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:2", "2024-1-29 16:59:2", "12487.93457,-3991.809326", "12466.243164,-4111.718262", "1.21855"
70, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:2", "2024-1-29 16:59:2", "12466.800781,-4111.13916", "12458.09082,-4215.873047", "1.050952"
71, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:3", "2024-1-29 16:59:3", "12459.038086,-4215.81543", "12446.390625,-4281.120605", "0.665187"
72, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:1", "2024-1-29 16:59:6", "0.0,0.0", "-4.262165,-9.8508", "0.107333"
73, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:6", "2024-1-29 16:59:6", "12450.695312,-4271.684082", "12654.660156,-4361.623047", "2.229143"
74, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:6", "2024-1-29 16:59:8", "0.0,0.0", "8.3389,-10.010509", "0.130287"
75, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:11", "2024-1-29 16:59:11", "12636.947266,-4347.013184", "12598.881836,-4029.605957", "3.196816"
76, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:11", "2024-1-29 16:59:11", "12599.033203,-4030.426514", "12553.236328,-3759.880859", "2.743943"
77, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:11", "2024-1-29 16:59:12", "12553.792969,-3759.864014", "12582.375,-3598.063232", "1.643058"
78, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:12", "2024-1-29 16:59:12", "12584.472656,-3597.61499", "12619.863281,-3509.918945", "0.945679"
79, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:8", "2024-1-29 16:59:13", "0.0,0.0", "-1.630451,12.273855", "0.123817"
80, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:14", "2024-1-29 16:59:14", "12621.654297,-3522.166748", "12659.139648,-3840.158203", "3.201934"
81, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:14", "2024-1-29 16:59:14", "12659.290039,-3840.24585", "12721.798828,-4081.366455", "2.490914"
