id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
25,"9999","Develop","[0.080042;0.080234;0.080161;0.08018;0.08038;0.080693;0.080406;0.080104;0.080111;0.080173;]","[0.000114;0.000125;0.000137;0.000149;0.000161;0.000173;0.000185;0.000197;0.000208;0.000221;]","[(-14048.512695;9930.811523);(-14048.308594;9929.928711);(-14048.638672;9930.120117);(-14048.609375;9930.041016);(-14047.969727;9929.362305);(-14045.595703;9929.094727);(-14047.071289;9929.739258);(-14048.597656;9930.442383);(-14048.306641;9930.568359);(-14047.853516;9930.505859);]","[2024-2-19 13:7:32;2024-2-19 13:7:33;2024-2-19 13:7:33;2024-2-19 13:7:34;2024-2-19 13:7:34;2024-2-19 13:7:35;2024-2-19 13:7:35;2024-2-19 13:7:36;2024-2-19 13:7:36;2024-2-19 13:7:37;]"
26,"9999","Develop","[0.080278;0.080481;0.080432;0.080472;0.080552;0.080634;0.080416;0.08035;0.080381;0.080385;]","[0.000233;0.000245;0.000257;0.000269;0.000281;0.000293;0.000305;0.000317;0.00033;0.000342;]","[(-14047.355469;9930.240234);(-14046.282227;9929.797852);(-14046.223633;9930.083984);(-14046.205078;9929.889648);(-14045.683594;9929.769531);(-14045.483398;9929.458984);(-14046.402344;9930.06543);(-14046.548828;9930.323242);(-14046.335938;9930.287109);(-14046.419922;9930.21875);]","[2024-2-19 13:7:37;2024-2-19 13:7:38;2024-2-19 13:7:38;2024-2-19 13:7:39;2024-2-19 13:7:39;2024-2-19 13:7:40;2024-2-19 13:7:40;2024-2-19 13:7:41;2024-2-19 13:7:41;2024-2-19 13:7:42;]"
27,"9999","Develop","[0.080358;0.080434;0.080339;0.080247;0.080065;0.08006;0.080602;0.080602;0.080602;0.080602;]","[0.000353;0.000365;0.000377;0.00039;0.000402;0.000413;0.000425;0.000437;0.000449;0.000461;]","[(-14046.542969;9930.28418);(-14045.897461;9930.258789);(-14046.401367;9930.46582);(-14046.751953;9930.742188);(-14047.767578;9931.118164);(-14047.730469;9931.161133);(-14036.12793;9934.816406);(-14036.12793;9934.816406);(-14036.12793;9934.816406);(-14036.12793;9934.816406);]","[2024-2-19 13:7:42;2024-2-19 13:7:43;2024-2-19 13:7:43;2024-2-19 13:7:44;2024-2-19 13:7:44;2024-2-19 13:7:45;2024-2-19 13:7:45;2024-2-19 13:7:46;2024-2-19 13:7:46;2024-2-19 13:7:47;]"
28,"9999","Develop","[0.084817;0.08062;0.0806;0.0806;0.079964;0.080223;0.080175;0.080116;0.080125;0.080119;]","[0.0;0.000011;0.000025;0.000036;0.000048;0.00006;0.000072;0.000084;0.000096;0.000108;]","[(-14021.767578;9922.016602);(-14036.12793;9934.816406);(-14036.12793;9934.816406);(-14036.12793;9934.816406);(-14035.423828;9938.466797);(-14040.328125;9934.450195);(-14040.65918;9934.516602);(-14040.948242;9934.658203);(-14040.955078;9934.608398);(-14040.985352;9934.62207);]","[2024-2-19 13:8:9;2024-2-19 13:8:10;2024-2-19 13:8:10;2024-2-19 13:8:11;2024-2-19 13:8:11;2024-2-19 13:8:12;2024-2-19 13:8:12;2024-2-19 13:8:13;2024-2-19 13:8:13;2024-2-19 13:8:14;]"
29,"9999","Develop","[0.079877;0.079779;0.079897;0.079681;0.079643;0.079611;0.079616;0.079655;0.079663;0.079638;]","[0.00012;0.000131;0.000143;0.000155;0.000167;0.000179;0.000191;0.000203;0.000215;0.000227;]","[(-14045.462891;9933.386719);(-14051.668945;9930.376953);(-14050.164062;9930.619141);(-14051.048828;9931.248047);(-14050.852539;9931.5625);(-14051.021484;9931.633789);(-14051.078125;9931.572266);(-14051.02832;9931.395508);(-14050.861328;9931.448242);(-14050.875;9931.575195);]","[2024-2-19 13:8:14;2024-2-19 13:8:15;2024-2-19 13:8:15;2024-2-19 13:8:16;2024-2-19 13:8:16;2024-2-19 13:8:17;2024-2-19 13:8:17;2024-2-19 13:8:18;2024-2-19 13:8:18;2024-2-19 13:8:19;]"
30,"9999","Develop","[0.079594;0.079618;0.079307;0.078112;0.078112;0.078112;0.078112;0.078112;0.078112;0.078112;]","[0.000238;0.000251;0.000262;0.000274;0.000285;0.000297;0.000308;0.000319;0.000331;0.000342;]","[(-14051.023438;9931.719727);(-14050.871094;9931.681641);(-14049.296875;9934.21875);(-14043.176758;9943.994141);(-14043.176758;9943.994141);(-14043.176758;9943.994141);(-14043.176758;9943.994141);(-14043.176758;9943.994141);(-14043.176758;9943.994141);(-14043.176758;9943.994141);]","[2024-2-19 13:8:19;2024-2-19 13:8:20;2024-2-19 13:8:20;2024-2-19 13:8:21;2024-2-19 13:8:21;2024-2-19 13:8:22;2024-2-19 13:8:22;2024-2-19 13:8:23;2024-2-19 13:8:23;2024-2-19 13:8:24;]"
31,"9999","Develop","[0.084817;0.084128;0.084754;0.084754;0.084753;0.088684;0.088635;0.08864;0.088603;0.088593;]","[0.0;0.000012;0.000025;0.000038;0.00005;0.000063;0.000076;0.000089;0.000102;0.000116;]","[(-14021.767578;9922.016602);(-14020.320312;9925.890625);(-14021.794922;9922.141602);(-14021.794922;9922.141602);(-14021.796875;9922.148438);(-14059.22168;9882.040039);(-14059.128906;9882.325195);(-14059.106445;9882.314453);(-14059.09082;9882.496094);(-14059.066406;9882.558594);]","[2024-2-19 14:6:37;2024-2-19 14:6:38;2024-2-19 14:6:39;2024-2-19 14:6:39;2024-2-19 14:6:40;2024-2-19 14:6:40;2024-2-19 14:6:41;2024-2-19 14:6:41;2024-2-19 14:6:42;2024-2-19 14:6:42;]"
32,"9999","Develop","[0.088596;0.088591;0.088596;0.088599;0.08855;0.08797;0.085977;0.085663;0.085665;0.085769;]","[0.000129;0.000142;0.000155;0.000169;0.000182;0.000196;0.000209;0.000221;0.000234;0.000247;]","[(-14059.108398;9882.516602);(-14059.070312;9882.567383);(-14059.004883;9882.582031);(-14058.985352;9882.581055);(-14058.989258;9882.804688);(-14060.208984;9884.725586);(-14067.541016;9889.517578);(-14068.736328;9890.279297);(-14068.614258;9890.34668);(-14068.553711;9889.881836);]","[2024-2-19 14:6:43;2024-2-19 14:6:43;2024-2-19 14:6:44;2024-2-19 14:6:44;2024-2-19 14:6:45;2024-2-19 14:6:45;2024-2-19 14:6:46;2024-2-19 14:6:46;2024-2-19 14:6:47;2024-2-19 14:6:47;]"
33,"9999","Develop","[0.084817;0.088357;0.08485;0.08485;0.08485;0.088831;0.087783;0.08643;0.0853;0.085512;]","[0.0;0.000013;0.000025;0.000038;0.00005;0.000063;0.000076;0.000088;0.000101;0.000114;]","[(-14021.767578;9922.016602);(-14048.5625;9890.19043);(-14016.887695;9924.289062);(-14016.887695;9924.289062);(-14016.887695;9924.289062);(-14053.769531;9884.796875);(-14060.609375;9885.348633);(-14064.644531;9889.192383);(-14066.132812;9893.716797);(-14065.560547;9893.044922);]","[2024-2-19 14:8:57;2024-2-19 14:8:57;2024-2-19 14:8:57;2024-2-19 14:8:58;2024-2-19 14:8:58;2024-2-19 14:8:59;2024-2-19 14:8:59;2024-2-19 14:9:0;2024-2-19 14:9:0;2024-2-19 14:9:1;]"
34,"9999","Develop","[0.085338;0.085497;0.085648;0.085485;0.085224;0.085294;0.085261;0.086952;0.088573;0.088573;]","[0.000127;0.000139;0.000152;0.000165;0.000178;0.00019;0.000203;0.000216;0.000229;0.000242;]","[(-14066.239258;9893.462891);(-14065.74707;9892.998047);(-14065.101562;9892.675781);(-14066.273438;9892.725586);(-14067.986328;9892.90918);(-14067.300781;9893.001953);(-14067.639648;9892.949219);(-14058.357422;9890.669922);(-14051.619141;9887.307617);(-14051.619141;9887.307617);]","[2024-2-19 14:9:1;2024-2-19 14:9:2;2024-2-19 14:9:2;2024-2-19 14:9:3;2024-2-19 14:9:3;2024-2-19 14:9:4;2024-2-19 14:9:4;2024-2-19 14:9:5;2024-2-19 14:9:5;2024-2-19 14:9:6;]"
