id,user_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
163,"9999","T1_BasicMechanics","3","[1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;]","[0.024305;0.024576;0.024841;0.025111;0.025382;0.025647;0.02591;0.026181;0.026452;0.026728;]","[(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 17:15:27.970;2024-9-12 17:15:28.483;2024-9-12 17:15:28.984;2024-9-12 17:15:29.497;2024-9-12 17:15:30.11;2024-9-12 17:15:30.513;2024-9-12 17:15:31.12;2024-9-12 17:15:31.526;2024-9-12 17:15:32.50;2024-9-12 17:15:32.564;]"
164,"9999","T1_BasicMechanics","3","[1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;]","[0.023075;0.023332;0.023583;0.02384;0.024097;0.024349;0.024598;0.024856;0.025113;0.025375;]","[(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);]","[2024-9-12 17:15:27.970;2024-9-12 17:15:28.483;2024-9-12 17:15:28.984;2024-9-12 17:15:29.497;2024-9-12 17:15:30.11;2024-9-12 17:15:30.513;2024-9-12 17:15:31.12;2024-9-12 17:15:31.526;2024-9-12 17:15:32.50;2024-9-12 17:15:32.565;]"
165,"9999","T1_BasicMechanics","3","[1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;]","[0.027032;0.027296;0.02756;0.027827;0.028097;0.028362;0.028634;0.028905;0.029176;0.029448;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 17:15:33.66;2024-9-12 17:15:33.567;2024-9-12 17:15:34.68;2024-9-12 17:15:34.570;2024-9-12 17:15:35.85;2024-9-12 17:15:35.587;2024-9-12 17:15:36.101;2024-9-12 17:15:36.613;2024-9-12 17:15:37.137;2024-9-12 17:15:37.641;]"
166,"9999","T1_BasicMechanics","3","[1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;]","[0.028392;0.028668;0.028946;0.029226;0.02951;0.029789;0.030074;0.030359;0.030643;0.030929;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 17:15:33.66;2024-9-12 17:15:33.567;2024-9-12 17:15:34.68;2024-9-12 17:15:34.570;2024-9-12 17:15:35.85;2024-9-12 17:15:35.587;2024-9-12 17:15:36.101;2024-9-12 17:15:36.613;2024-9-12 17:15:37.137;2024-9-12 17:15:37.641;]"
167,"9999","T1_BasicMechanics","3","[1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;]","[0.026994;0.027257;0.027521;0.027787;0.028057;0.028322;0.028593;0.028864;0.029134;0.029406;]","[(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 17:15:33.66;2024-9-12 17:15:33.567;2024-9-12 17:15:34.68;2024-9-12 17:15:34.570;2024-9-12 17:15:35.85;2024-9-12 17:15:35.587;2024-9-12 17:15:36.101;2024-9-12 17:15:36.613;2024-9-12 17:15:37.137;2024-9-12 17:15:37.642;]"
168,"9999","T1_BasicMechanics","3","[1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;]","[0.025627;0.025877;0.026128;0.02638;0.026637;0.026888;0.027146;0.027403;0.027659;0.027917;]","[(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);]","[2024-9-12 17:15:33.66;2024-9-12 17:15:33.567;2024-9-12 17:15:34.68;2024-9-12 17:15:34.570;2024-9-12 17:15:35.85;2024-9-12 17:15:35.587;2024-9-12 17:15:36.101;2024-9-12 17:15:36.613;2024-9-12 17:15:37.137;2024-9-12 17:15:37.642;]"
169,"9999","T1_BasicMechanics","3","[1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;]","[0.029717;0.029983;0.030254;0.030524;0.03079;0.031061;0.031332;0.031596;0.031867;0.032138;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 17:15:38.152;2024-9-12 17:15:38.653;2024-9-12 17:15:39.168;2024-9-12 17:15:39.680;2024-9-12 17:15:40.182;2024-9-12 17:15:40.694;2024-9-12 17:15:41.208;2024-9-12 17:15:41.709;2024-9-12 17:15:42.237;2024-9-12 17:15:42.734;]"
170,"9999","T1_BasicMechanics","3","[1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;]","[0.031212;0.031491;0.031776;0.032059;0.032339;0.032623;0.032907;0.033184;0.033469;0.033754;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 17:15:38.152;2024-9-12 17:15:38.653;2024-9-12 17:15:39.168;2024-9-12 17:15:39.680;2024-9-12 17:15:40.182;2024-9-12 17:15:40.694;2024-9-12 17:15:41.208;2024-9-12 17:15:41.709;2024-9-12 17:15:42.237;2024-9-12 17:15:42.734;]"
171,"9999","T1_BasicMechanics","3","[1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;1.898494;]","[0.029675;0.029941;0.030211;0.03048;0.030746;0.031016;0.031287;0.03155;0.031821;0.032092;]","[(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 17:15:38.152;2024-9-12 17:15:38.653;2024-9-12 17:15:39.168;2024-9-12 17:15:39.680;2024-9-12 17:15:40.182;2024-9-12 17:15:40.694;2024-9-12 17:15:41.208;2024-9-12 17:15:41.709;2024-9-12 17:15:42.237;2024-9-12 17:15:42.735;]"
172,"9999","T1_BasicMechanics","3","[1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;1.802398;]","[0.028173;0.028425;0.028682;0.028938;0.02919;0.029447;0.029703;0.029953;0.03021;0.030468;]","[(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);]","[2024-9-12 17:15:38.152;2024-9-12 17:15:38.653;2024-9-12 17:15:39.168;2024-9-12 17:15:39.680;2024-9-12 17:15:40.182;2024-9-12 17:15:40.694;2024-9-12 17:15:41.208;2024-9-12 17:15:41.709;2024-9-12 17:15:42.237;2024-9-12 17:15:42.735;]"
173,"9999","T1_BasicMechanics","3","[1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;1.901211;]","[0.032403;0.032668;0.032939;0.03321;0.033468;0.033739;0.03401;0.034281;0.034551;0.034816;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 17:15:43.237;2024-9-12 17:15:43.738;2024-9-12 17:15:44.251;2024-9-12 17:15:44.763;2024-9-12 17:15:45.263;2024-9-12 17:15:45.766;2024-9-12 17:15:46.279;2024-9-12 17:15:46.804;2024-9-12 17:15:47.304;2024-9-12 17:15:47.806;]"
174,"9999","T1_BasicMechanics","3","[1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;1.996822;]","[0.034032;0.034311;0.034595;0.03488;0.035151;0.035436;0.03572;0.036005;0.036289;0.036567;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 17:15:43.237;2024-9-12 17:15:43.738;2024-9-12 17:15:44.251;2024-9-12 17:15:44.763;2024-9-12 17:15:45.263;2024-9-12 17:15:45.766;2024-9-12 17:15:46.279;2024-9-12 17:15:46.804;2024-9-12 17:15:47.305;2024-9-12 17:15:47.807;]"
